target,fecha_corte,horizonte,n_train,n_test,mae,rmse,skill
calidad_aire,2026-08-22,1,14757,5332,2.8447779456680578,5.20190555538538,0.07407951006722124
calidad_aire,2026-08-22,3,14757,5312,4.612386831510034,7.8557412415587935,0.42797718660768913
calidad_aire,2026-08-22,6,14757,5189,5.623680788839497,9.79220366520468,0.5422457701486574
calidad_aire,2026-08-23,1,17709,5332,2.814034972735576,5.604838270587359,0.11813497513940119
calidad_aire,2026-08-23,3,17709,5314,4.749447619995998,8.648279039259808,0.4625840689392723
calidad_aire,2026-08-23,6,17709,5312,5.287045225878645,10.039354505940072,0.6229248372161663
calidad_aire,2026-08-24,1,20661,5304,2.545192378674952,5.435201856199507,-0.09111139180093653
calidad_aire,2026-08-24,3,20661,5280,4.186063901347411,8.79811545177853,0.30034409232585557
calidad_aire,2026-08-24,6,20661,5252,5.088874138549786,10.695051338129078,0.44312588544018083
calidad_aire,2026-08-25,1,23611,4729,2.4104433384104533,4.946401007843505,0.01816928773979809
calidad_aire,2026-08-25,3,23611,4563,3.8403645375894966,7.902589486206935,0.37059517497770456
calidad_aire,2026-08-25,6,23611,4420,4.144948708967128,8.111537948528383,0.5486821321844213
calidad_aire,2026-08-26,1,26555,3994,2.409723860029532,4.700486103013175,0.06300659430299205
calidad_aire,2026-08-26,3,26555,3715,3.58430326285236,6.683129936007772,0.4904398629572412
calidad_aire,2026-08-26,6,26555,3112,4.053790170973311,7.137173902798711,0.5906074670804311
calidad_aire,2026-08-27,1,29495,3839,2.7861300235705033,5.619268298831286,0.35344683455420245
calidad_aire,2026-08-27,3,29495,3706,3.801089226928502,6.347846367106253,0.7877724443702203
calidad_aire,2026-08-27,6,29495,3226,5.07175955751471,8.617296248648241,0.7620056592549603
calidad_aire,2026-08-28,1,32439,4820,2.4927361839282973,5.018872998595096,0.3583158536526142
calidad_aire,2026-08-28,3,32439,4788,3.291323250309941,5.638608619501033,0.7681302734891523
calidad_aire,2026-08-28,6,32439,4790,3.8893933752987975,6.302734218147423,0.8050549364818889
calidad_aire,2026-08-29,1,35145,4580,2.0958464493579108,4.129232777017927,0.08970008693963138
calidad_aire,2026-08-29,3,35145,4306,3.3820993637275216,7.150145007613598,0.2764994484729191
calidad_aire,2026-08-29,6,35145,3943,3.982406431794443,7.884727628486377,0.4851125963337404
calidad_aire,2026-08-30,1,38097,2180,4.82981355967701,10.490961303201464,-0.30898856660109786
calidad_aire,2026-08-30,3,38097,1932,9.38350856141585,19.477082145020088,-0.16946947973076143
calidad_aire,2026-08-30,6,38097,1327,9.652545737549987,18.7791754137479,0.25064551644398614
