feature,psi,ks_stat,ks_pvalue,deriva_psi,deriva_ks,deriva
dia_semana,7.7813,0.3725,0.0,True,True,True
dsem_sin,7.3396,0.4262,0.0,True,True,True
dsem_cos,5.4805,0.4186,0.0,True,True,True
value_roll24h_mean,0.1103,0.111,0.0,False,True,False
value_lag_24h,0.0805,0.1092,0.0,False,True,False
value,0.0634,0.0893,0.0,False,True,False
value_lag_3h,0.0631,0.0949,0.0,False,True,False
value_lag_2h,0.0598,0.0913,0.0,False,True,False
value_lag_1h,0.0579,0.088,0.0,False,True,False
value_roll3h_mean,0.0558,0.0886,0.0,False,True,False
value_roll3h_std,0.0409,0.0797,0.0,False,True,False
value_roll24h_std,0.0406,0.0376,0.0,False,True,False
hora,0.0148,0.0291,0.0,False,True,False
hora_sin,0.007,0.0317,0.0,False,True,False
hora_cos,0.0038,0.0239,0.0008,False,True,False
lon,0.0004,0.0036,1.0,False,False,False
lat,0.0002,0.003,1.0,False,False,False
es_festivo,0.0,0.0,1.0,False,False,False
es_finde,0.0,0.3725,0.0,False,True,False
