feature,psi,ks_stat,ks_pvalue,deriva_psi,deriva_ks,deriva
dia_semana,7.794,0.3724,0.0,True,True,True
dsem_sin,7.3287,0.4325,0.0,True,True,True
dsem_cos,5.4981,0.4221,0.0,True,True,True
value_roll24h_std,0.1439,0.1712,0.0,False,True,False
value_roll24h_mean,0.1163,0.1611,0.0,False,True,False
value_roll3h_mean,0.0516,0.1127,0.0,False,True,False
value_lag_1h,0.0506,0.0989,0.0,False,True,False
value,0.0488,0.0973,0.0,False,True,False
value_lag_3h,0.0439,0.0996,0.0,False,True,False
value_lag_2h,0.0436,0.0993,0.0,False,True,False
value_roll3h_std,0.0407,0.1201,0.0,False,True,False
value_lag_24h,0.0364,0.0978,0.0,False,True,False
hora,0.0019,0.0194,0.0,False,True,False
hora_sin,0.0014,0.0175,0.0,False,True,False
hora_cos,0.0006,0.0101,0.0,False,True,False
lon,0.0,0.0014,0.9916,False,False,False
lat,0.0,0.0016,0.9623,False,False,False
es_festivo,0.0,0.0,1.0,False,False,False
es_finde,0.0,0.3724,0.0,False,True,False
