nodo,parada,modo,grado,intermediacion,cercania,pagerank
crtm_red_transporte_madrid:5617,Canillejas,emt,6,0.31427,0.0682,0.000628
crtm_red_transporte_madrid:153,Metro O Donnell,emt,8,0.29107,0.0697,0.000804
crtm_red_transporte_madrid:3539,Aeropuerto T1 - Salidas,emt,4,0.25856,0.0687,0.000428
crtm_red_transporte_madrid:150,O'Donnell,emt,9,0.21332,0.0689,0.000874
crtm_red_transporte_madrid:4932,Hospital Ramón Y Cajal - Consultas,emt,6,0.21071,0.063,0.00071
crtm_red_transporte_madrid:2108,Avenida De Logroño - Canillejas,emt,6,0.20172,0.0655,0.000701
crtm_red_transporte_madrid:81,Prado - Atocha,emt,6,0.19364,0.0667,0.000625
crtm_red_transporte_madrid:4712,Sainz De Baranda,emt,6,0.17452,0.0672,0.00058
crtm_red_transporte_madrid:1433,Conde Casal,emt,5,0.16698,0.0659,0.000498
crtm_red_transporte_madrid:1167,Museo Reina Sofía,emt,6,0.16609,0.0643,0.000675
crtm_red_transporte_madrid:2538,Puente De Los Capuchinos,emt,4,0.14494,0.0618,0.000436
crtm_red_transporte_madrid:5580,Alcalá - Puerta De Alcalá,emt,8,0.13336,0.0682,0.000824
crtm_red_transporte_madrid:1437,Pacífico,emt,4,0.12788,0.0647,0.000417
crtm_red_transporte_madrid:1420,Cuatro Caminos,emt,5,0.12474,0.0615,0.000528
crtm_red_transporte_madrid:3929,Intercambiador Plaza Elíptica,emt,8,0.12223,0.0598,0.000858
crtm_red_transporte_madrid:1064,Avenida De Daroca - Casalarreina,emt,5,0.12018,0.0686,0.000491
crtm_red_transporte_madrid:789,Avenida América,emt,5,0.11562,0.0669,0.000472
crtm_red_transporte_madrid:3272,Begoña - San Modesto,emt,3,0.11303,0.0558,0.000366
crtm_red_transporte_madrid:3270,Hospital Ramón Y Cajal,emt,2,0.10727,0.0602,0.000262
crtm_red_transporte_madrid:3269,Antonio Robles - Hospital Ramón Y Cajal,emt,2,0.10681,0.0578,0.000264
crtm_red_transporte_madrid:2953,Alcalá - San Mariano,emt,5,0.10324,0.0644,0.000539
crtm_red_transporte_madrid:2696,Nuevos Ministerios,emt,6,0.10135,0.0636,0.000567
crtm_red_transporte_madrid:4678,República Argentina,emt,4,0.10132,0.065,0.000373
crtm_red_transporte_madrid:1418,Cruz Roja,emt,5,0.10028,0.0599,0.000549
crtm_red_transporte_madrid:2693,Fernández Villaverde - Ponzano,emt,5,0.09728,0.0623,0.000508
crtm_red_transporte_madrid:5727,Cibeles,emt,2,0.09434,0.067,0.000225
crtm_red_transporte_madrid:1602,Begoñahospital La Paz,emt,8,0.09186,0.0543,0.000879
crtm_red_transporte_madrid:1427,Manuel Becerra,emt,7,0.09086,0.0676,0.000687
crtm_red_transporte_madrid:2058,Puente De Vallecas,emt,6,0.08721,0.0614,0.000615
crtm_red_transporte_madrid:5718,Glorieta De Cádiz,emt,5,0.08496,0.0535,0.000538
crtm_red_transporte_madrid:3719,Méndez Álvaro,emt,3,0.08246,0.0615,0.000331
crtm_red_transporte_madrid:751,Escuelas Aguirre - Casa Árabe,emt,6,0.08144,0.0681,0.000625
