fecha,target,horizonte,skill_nuevo,skill_vigente,promovido,n_test,run_id
2026-08-29,calidad_aire,1,0.2929,0.2929,True,7611,eeea45ed8ddd44bf8ba6473068e4c2d7
2026-08-29,calidad_aire,3,0.5802,0.5802,True,7089,fc60d68a2b674a7785ba4a1aa4e9d1d2
2026-08-29,calidad_aire,6,0.6753,0.6753,True,6358,1fcc31bf2e104bce982337cd78d63f99
2026-08-29,calidad_aire,1,-0.0031,0.0003,False,4941,f50962751b8a44b380c3d8fe159b6b49
2026-08-29,calidad_aire,3,0.3551,0.3346,True,4429,3fe85bf735ab4fc8a4e913ab28fcfe4a
2026-08-29,calidad_aire,6,0.4442,0.437,True,4064,d44919cdddbc4121b6ff52168504bad5
2026-08-29,trafico,1,0.3407,,True,180910,9272e182f0c64c7497da0f46c2f7b9cf
2026-08-29,trafico,3,0.5835,,True,166869,292c467616fa491ea4c7cb79a83f9de0
2026-08-29,trafico,6,0.734,,True,153204,014f78e584f84523b8fb58e5cef1bf74
2026-08-30,calidad_aire,1,-0.159,0.0003,False,4935,c25272b1e3b944a08f50731131f2e692
2026-08-30,calidad_aire,3,-0.1286,0.3551,False,4421,edc2fe6409524d41992ba8c9e8d54458
2026-08-30,calidad_aire,6,0.2422,0.4442,False,3695,aa9bd8d9f9ba41688a14b0009b69010e
2026-08-30,trafico,1,0.338,0.3407,False,181544,463d45ed08314ffdbde41a3db2858611
2026-08-30,trafico,3,0.5799,0.5835,False,163108,2ed9eafc49574ca2b81f5fa876644371
2026-08-30,trafico,6,0.7459,0.734,True,135543,94fc39e3dc6f457ca6ba1c9f013b640f
